twitter	name_first	name_middle	name_last	state	position	party	inactive 
realannapaulina	Anna	Paulina	Luna	Fla.	House Candidate	Republican	
RepAnnaEshoo	Anna	G.	Eshoo	Calif.	House Representative	Democrat	
VoteAPL	Anna	Paulina	Luna	Fla.	House Candidate	Republican	
Annabelle4SC	Annabelle		Robertson	S.C.	House Candidate	Democrat	inactive 
annemariewardaz	Anne	Marie	Ward	Ariz.	House Candidate	Republican	inactive 
AnneMessenger	Anne		Messenger	N.Y.	House Candidate	Democrat	inactive 
annmbuerkle	Anne	Marie	Buerkle	N.Y.	House Representative	Republican	inactive 
voteBuerkle	Anne	Marie	Buerkle	N.Y.	House Representative	Republican	inactive 
AnnetteBosworth	Annette		Bosworth	S.D.	Senate Candidate	Republican	inactive 
AnnetteTeijeiro	Annette		Teijeiro	Nev.	House Candidate	Republican	inactive 
annettevmeza	Annette		Meza	Calif.	House Candidate	Democrat	inactive 
RepAnnieKuster	Annie	McLane	Kuster	N.H.	House Representative	Democrat	
ABrindisiNY	Anthony		Brindisi	N.Y.	House Candidate	Democrat	
AMCarbonaro	Anthony		Carbonaro	Mich.	House Candidate	Democrat	inactive 
AnthonyBrownMD4	Anthony		Brown	Md.	House Candidate	Democrat	
AnthonyFeig	Anthony		Feig	Mich.	House Candidate	Democrat	inactive 
AnthonyFelixJr	Anthony		Felix	Calif.	House Candidate	Democrat	inactive 
anthonygonzalez	Anthony		Gonzalez	Ohio	House Candidate	Republican	
anthonymalgieri	Anthony		Malgieri	Colo.	House Candidate	Other	inactive 
AnthonySabatini	Anthony		Sabatini	Fla.	House Candidate	Republican	
AnthonyVClark	Anthony		Clark	Ill.	House Candidate	Democrat	inactive 
anthonyvclark20	Anthony		Clark	Ill.	House Candidate	Democrat	inactive 
anthonyweiner	Anthony		Weiner	N.Y.	House Representative	Democrat	inactive 
BrownforMD	Anthony	G.	Brown	Md.	Gubernatorial Candidate	Democrat	inactive 
DiLiziaForCT	Anthony		DiLizia	Conn.	House Candidate	Democrat	
flacc4congress	Anthony		Flaccavento	Va.	House Candidate	Democrat	inactive 
MrAnthonyRogers	Anthony		Rogers	Mo.	House Candidate	Republican	inactive 
RepAGonzalez	Anthony		Gonzalez	Ohio	House Representative	Republican	
RepAnthonyBrown	Anthony	G.	Brown	Md.	House Representative	Democrat	
RepBrindisi	Anthony		Brindisi	N.Y.	House Representative	Democrat	
montaga	Antoine		Tucker	N.Y.	House Candidate	Republican	inactive 
Antone_MN	Antone		Melton-Meaux	Minn.	House Candidate	Democrat	inactive 
Antonia4MS1	Antonia		Eliason	Miss.	House Candidate	Democrat	inactive 
ACHforCongress	Antonio	Cortez	Hicks	Ga.	House Candidate	Democrat	inactive 
antoniopitocco1	Antonio		Pitocco	Md.	House Candidate	Republican	
AntonioSabatoJr	Antonio	Sabato	Jr.	Calif.	House Candidate	Republican	inactive 
DelgadoforNY19	Antonio		Delgado	N.Y.	House Candidate	Democrat	
repdelgado	Antonio		Delgado	N.Y.	House Representative	Democrat	
VoteDaza2022	Antonio		Daza-Fernandez	Ga.	House Candidate	Democrat	
AppropsDems	Approps		Dems	D.C.	Congressional committee	Democrat	
April4Congress	April		Freeman	Fla.	House Candidate	Democrat	inactive 
nesbit_ok	April		Nesbit	Okla.	Senate Candidate	Other	inactive 
VoteAprilBecker	April		Becker	Nev.	House Candidate	Republican	
AramisAyalaFL	Aramis		Ayala	Fla.	House Candidate	Democrat	
AratiKreibich	Arati		Kreibich	N.J.	House Candidate	Democrat	inactive 
Archie4Congress	Archie		Parnell	S.C.	House Candidate	Democrat	inactive 
ArnMenconi	Arn		Menconi	Colo.	House Candidate	Democrat	inactive 
ArnoldforAL	Arnold		Mooney	Ala.	Senate Candidate	Republican	inactive 
ArtForCongress	Art		Robinson	Ore.	House Candidate	Republican	inactive 
ArtGardner2014	Art		Gardner	Ga.	Senate Candidate	Republican	inactive 
ArtHalvorson	Art		Halvorson	Pa.	House Candidate	Republican	inactive 
Lieber4Congress	Arthur		Lieber	Mo.	House Candidate	Democrat	inactive 
arunamiller	Aruna		Miller	Md.	House Candidate	Democrat	inactive 
VoteVohra	Arvin		Vohra	Md.	Senate Candidate	Other	inactive 
AsaHutchinson	Asa		Hutchinson	Ark.	Governor	Republican	
ALunkenheimerPA	Ashley		Lunkenheimer	Pa.	House Candidate	Democrat	inactive 
hinsonashley	Ashley		Hinson	Iowa	House Candidate	Republican	
RepAshleyHinson	Ashley		Hinson	Iowa	House Representative	Republican	
ashmi4congress	Ashmi		Sheth	N.Y.	House Candidate	Democrat	
Asusena4TX	Asusena		Resendiz	Texas	House Candidate	Republican	inactive 
AtulGoelRaleigh	Atul		Goel	N.C.	Senate Candidate	Democrat	inactive 
Audra4Nm	Audra		Brown	N.M.	House Candidate	Republican	inactive 
audrey4congress	Audrey		Denney	Calif.	House Candidate	Democrat	inactive 
AudreyHensonFL	Audrey		Henson	Fla.	House Candidate	Republican	
AugustPfluger	August		Pfluger	Texas	House Candidate	Republican	
RepPfluger	August		Pfluger	Texas	House Representative	Republican	
RepAmata	Aumua		Amata Coleman Radewagen	American Samoa	House Representative	Republican	
aconnellsmith	Austin		Smith	N.Y.	House Candidate	Democrat	
AP4Liberty	Austin		Petersen	Mo.	Senate Candidate	Republican	inactive 
austinintal	Austin		Intal	Calif.	House Candidate	Democrat	inactive 
AustinScott4GA	Austin		Scott	Ga.	House Candidate	Republican	
AustinScottGA08	Austin		Scott	Ga.	House Representative	Republican	
AustinTSearle	Austin		Searle	Utah	Senate Candidate	Democrat	
rodill4congress	Austin		Rodill	Pa.	House Candidate	Democrat	
ScottForGA	Austin		Scott	Ga.	House Candidate	Republican	inactive 
AvaEdwardsNC	Ava		Edwards	N.C.	Senate Candidate	Democrat	
avaforcongress	Ava		Pate	Texas	House Candidate	Republican	inactive 
AyannaPressley	Ayanna		Pressley	Mass.	House Candidate	Democrat	
RepPressley	Ayanna		Pressley	Mass.	House Representative	Democrat	
badrun_khan	Badrun		Khan	N.Y.	House Candidate	Democrat	inactive 
BangarReddy	Bangar		Reddy	Texas	House Candidate	Republican	inactive 
